"","X","country","description","designation","points","price","province","region_1","region_2","variety","winery"
"1",132912,"US","Here's a solid Cabernet with extra features of complexity and interest. It's bone dry, with softly gentle tannins and rich, forward flavors of cherries, currants, herbs and cedar. Very pretty and polished, at a fair price.","",87,18,"California","Sonoma County","Sonoma","Cabernet Sauvignon","Sebastiani"
"2",109095,"US","Here's a big, rich, extracted Cabernet, filled with fruit, yet balanced with a bracing minerality that must come from the earth. It's completely dry, with flavors of blackberries, black currants, violets and cedar. Very refined and polished, and a good value compared to far more expensive bottlings of this quality.","",92,45,"California","Napa Valley","Napa","Cabernet Sauvignon","Brookdale Vineyards"
"3",51941,"US","There's a whiff of volatile, hot fermentation aromas that overlie black cherry and smoky tar. In the mouth this is a chewy, earthy, smoky Cabernet, suitable for outdoor dining and grilled meats. The tannins are still showing a little green edge, but some extra breathing softens them up.","Berghan Vineyard",85,28,"Washington","Washington","Washington Other","Cabernet Sauvignon","Pend d'Oreille"
"4",28450,"US","Generous tannins surround a core of ripe, brawny blackberry fruit and a powerful imprint of dried herb in this wine, which is rich and concentrated. Earthy tobacco and chocolate seal the finish.","",89,75,"California","Stags Leap District","Napa","Cabernet Sauvignon","Cliff Lede"
"5",120298,"US","There's a beautiful wine in this Cabernet blend, which was grown at the foot of Howell Mountain. But it's not showing its best now. Just too tannic, and the fruity flavors are all primary and unintegrated with the new oak barrels. With a wealth of raspberries, cherries and currants, it should begin to come into its own after 2013.","Cuvee l'Etrier",92,75,"California","Napa Valley","Napa","Cabernet Sauvignon","Notre Vin"
"6",148972,"US","A fig, herb and grapefruit bouquet sets the stage. The fig element becomes a more nut-like flavor on the palate and the wine has a round, slightly viscous texture, in the full style of the other Wattle Creek whites. Finishes dry, with just a hint of tartness.","",87,20,"California","Sonoma County","Sonoma","Sauvignon Blanc","Wattle Creek"
"7",131507,"US","Last year's bottling was a hard act to follow, but Mauritson's done it again. The vintage was cooler and this wine seems crisper and zestier but no less flavorful, bursting at the seams with ripe lemon, lime, peach and wildflower flavors. Turns as rich as honey on the finish, but it's a dry wine.","",90,16,"California","Dry Creek Valley","Sonoma","Sauvignon Blanc","Mauritson"
"8",103938,"US","Could be a Pinot Grigio, with a flowery, honeysuckle note along with the lemons, limes, pineapples and vanilla. Whatever, it's a crisp, dry and likeable white wine.","Edna Ranch Estate",87,19,"California","Edna Valley","Central Coast","Sauvignon Blanc","Tolosa"
"9",123634,"US","With no oak but aged in stainless steel on the lees, this 100% Sauvignon Blanc is bone dry and crisp in acidity. It offers vibrant flavors of lemons, grapefruits and limes, with a touch of sweet honey on the finish.","",87,20,"California","Napa Valley","Napa","Sauvignon Blanc","Titus"
"10",76289,"US","Here's a pleasant, easy-to-drink Sauvignon Blanc. It shows lemon, lime and tart green apple flavors, finished with plenty of zesty acidity.","Sleeper",87,17,"California","Napa Valley","Napa","Sauvignon Blanc","Sleeper Cellars"
